City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Samarai,PG,86.65,overcast clouds,-10.6167,150.6667,Nuli Sapi
83,Cidreira,BR,76.95,broken clouds,-30.1811,-50.2056,Hotel Castelo
84,Katherine,AU,86.0,clear sky,-14.4667,132.2667,Pine Tree Motel
86,Hilo,US,80.6,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
87,Barra,BR,76.91,few clouds,-11.0894,-43.1417,Motel Albatroz
88,Nabire,ID,85.96,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
94,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
100,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
116,Ilhabela,BR,77.81,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
117,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
123,Manta,EC,80.6,broken clouds,-0.95,-80.7333,Balandra Hotel
129,Gizo,SB,85.39,moderate rain,-8.103,156.8419,Imagination Island
130,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
134,Baracoa,CU,75.67,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
136,Port Blair,IN,78.8,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
141,Miri,MY,78.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
147,Itarema,BR,78.78,overcast clouds,-2.9248,-39.9167,Windvillage
148,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
150,Karwar,IN,75.78,scattered clouds,14.8,74.1333,Netalco Connects
151,Flinders,AU,81.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
153,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
157,Waingapu,ID,83.86,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
158,Bengkulu,ID,78.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
166,San Cristobal,VE,80.6,light rain,7.7669,-72.225,Pirineos
168,Vanimo,PG,84.58,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
170,Arraial Do Cabo,BR,76.87,clear sky,-22.9661,-42.0278,Pousada Porto Praia
171,Santa Rosa,PH,80.01,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
173,Batticaloa,LK,75.81,heavy intensity rain,7.7102,81.6924,Grand Star Guest House
174,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
181,Vao,NC,77.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
183,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
201,San Juan,AR,89.94,clear sky,-31.5375,-68.5364,Hotel Provincial
202,Broken Hill,AU,89.6,clear sky,-31.95,141.4333,Royal Exchange Hotel
