City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Manta,EC,2021-01-11 00:30:47,-0.95,-80.7333,80.6,69,75,9.22,broken clouds
124,Adilabad,IN,2021-01-11 00:31:12,19.6667,78.5333,69.04,49,0,1.95,clear sky
125,Bad Windsheim,DE,2021-01-11 00:31:13,49.5,10.4167,21.0,100,1,1.01,mist
126,Sedona,US,2021-01-11 00:30:53,34.8697,-111.761,54.0,22,1,4.61,clear sky
127,Bethel,US,2021-01-11 00:31:13,41.3712,-73.414,30.0,64,1,4.52,clear sky
128,Beringovskiy,RU,2021-01-11 00:31:13,63.05,179.3167,-20.25,85,11,13.29,few clouds
129,Gizo,SB,2021-01-11 00:31:14,-8.103,156.8419,85.39,69,100,6.26,moderate rain
130,Georgetown,MY,2021-01-11 00:30:13,5.4112,100.3354,79.0,78,20,2.3,few clouds
131,Ribeira Grande,PT,2021-01-11 00:31:14,38.5167,-28.7,62.6,90,100,10.04,light rain
132,Chapais,CA,2021-01-11 00:31:14,49.7834,-74.8492,15.8,92,90,4.61,overcast clouds
133,Kuloy,RU,2021-01-11 00:31:14,61.0305,42.4925,-10.05,90,1,4.5,clear sky
134,Baracoa,CU,2021-01-11 00:31:15,20.3467,-74.4958,75.67,86,100,11.3,overcast clouds
135,Soller,ES,2021-01-11 00:31:15,39.7662,2.7152,50.0,10,100,16.02,overcast clouds
136,Port Blair,IN,2021-01-11 00:31:15,11.6667,92.75,78.8,83,40,2.3,scattered clouds
137,Te Anau,NZ,2021-01-11 00:31:15,-45.4167,167.7167,63.59,46,30,2.15,scattered clouds
138,Kashi,CN,2021-01-11 00:31:16,39.4547,75.9797,6.8,66,0,11.18,clear sky
139,Ancud,CL,2021-01-11 00:31:16,-41.8697,-73.8203,46.99,76,0,6.91,light rain
140,Am Timan,TD,2021-01-11 00:31:16,11.0297,20.2827,66.16,25,0,6.31,clear sky
141,Miri,MY,2021-01-11 00:31:16,4.4148,114.0089,78.8,94,40,8.05,scattered clouds
142,Zhigansk,RU,2021-01-11 00:31:17,66.7697,123.3711,-35.09,82,100,6.62,overcast clouds
143,Koslan,RU,2021-01-11 00:31:17,63.4564,48.8989,-7.94,89,0,6.42,clear sky
144,Iranshahr,IR,2021-01-11 00:31:17,27.2025,60.6848,39.2,14,0,6.91,clear sky
